Domain	Type	Name
file	Vector	nested tasks
file	FileSet	fileset
file	Echo	nested echo
method	Task	nested task
var	Enumeration	e
method	String	an argument
method	String[]	args
var	Beta	my beta
file	D	d
file	APrivate	dependency
method	Object	baz
var	Calendar	cal
file	FileUtils	file utils
file	String	resource name
file	int	path elements index
file	URL	next resource
var	URL	ret
var	URL	url
var	File	path component
file	int	buffer size
file	int	number of strings
file	Vector	path components
file	Project	project
file	boolean	parent first
file	Vector	system packages
file	Vector	loader packages
file	boolean	ignore base
file	ClassLoader	parent
file	Hashtable	jar files
file	Map	path map
file	ClassLoader	saved context loader
file	boolean	is context loader saved
method	Path	classpath
var	Path	actual classpath
var	String[]	path elements
var	int	i
method	String	message
method	int	priority
var	ClassLoader	loader
method	String	path element
method	File	file
var	String	abs path plus time and length
var	String	classpath
var	JarFile	jar file
var	Manifest	manifest
var	URL	base url
var	StringTokenizer	st
var	String	classpath element
var	URL	library url
var	String	decoded path
var	File	library file
var	StringBuilder	sb
var	boolean	first pass
var	Enumeration	component enum
method	boolean	isolated
method	Class	the class
var	Constructor[]	cons
var	String[]	strs
method	String	package root
method	String	classname
method	String	name
var	InputStream	resource stream
var	InputStream	stream
var	JarEntry	entry
var	File	resource
var	boolean	use parent first
var	String	package name
var	ClassLoader	ret
method	boolean	parent has been searched
var	Enumeration	mine
var	Enumeration	base
var	String	msg
method	boolean	resolve
method	File	container
method	byte[]	class data
var	ProtectionDomain	current pd
var	String	class resource
var	CodeSource	src
var	ProtectionDomain	classes pd
method	String	class name
var	int	class index
method	String	entry
var	JarEntry	ent
var	String	section name
var	String	specification title
var	String	specification vendor
var	String	specification version
var	String	implementation title
var	String	implementation vendor
var	String	implementation version
var	String	sealed string
var	URL	seal base
var	Attributes	section attributes
var	Attributes	main attributes
var	ByteArrayOutputStream	baos
var	int	bytes read
var	byte[]	buffer
method	File	component
var	String	class filename
method	BuildEvent	event
var	Vector	packages
method	Path	path
file	ZipLong	eocd sig
file	ZipLong	single segment split marker
var	byte[]	sig
var	ZipLong	start
method	File	f
method	byte[]	b
var	FileInputStream	fis
var	int	len
var	int	count
var	int	x
file	Class	clazz
file	Class	adapter class
file	Class	adapt to class
file	ClassLoader	class loader
file	boolean	restrict
var	Class	z
var	Class	c
var	Object	o
var	TypeAdapter	adapter object
var	TypeAdapter	adapter
var	Throwable	t
method	Class	newclass
var	Constructor	ctor
var	boolean	no arg
var	T	o
method	AntTypeDefinition	other
var	ClassLoader	old loader
var	ClassLoader	new loader
method	int	pos
method	List	args
method	List	arg
method	PrintStream	writer
file	String	debug argument processor repository
file	boolean	debug
file	String	service id
file	ArgumentProcessorRegistry	instance
file	List	processors
var	Enumeration	resources
var	URL	resource
var	URLConnection	conn
var	ArgumentProcessor	processor
var	InputStream	system resource
method	String	helper class name
method	Class	helper class
var	Class	cl
method	Class	processor class
method	InputStream	is
var	InputStreamReader	isr
var	BufferedReader	rd
var	String	processor class name
file	boolean	positive
method	boolean	val
method	UnknownElement	el
var	Map	ret
var	RuntimeConfigurable	rc
var	Map	attributes
var	Map.Entry	entry
var	String	key
var	String	value
var	Iterator	i
file	long	serial version uid
file	Target	target
file	Task	task
file	Throwable	exception
file	Location	location
method	int	level
method	PrintStream	output
method	boolean	emacs mode
method	PrintStream	err
file	Map	restricted definitions
file	Hashtable	ant type table
file	Hashtable	task class definitions
file	boolean	rebuild task class definitions
file	Hashtable	type class definitions
file	boolean	rebuild type class definitions
file	HashSet	checked namespaces
file	Stack	ant lib stack
file	String	ant lib current uri
file	ComponentHelper	next
file	String	error no task list load
file	String	error no type list load
file	String	component helper reference
file	String	build sysclasspath only
file	String	ant property task
file	Properties[]	default definitions
var	ComponentHelper	ph
var	Set	result
var	Map	result
var	List	entry val
method	ComponentHelper	helper
var	Hashtable	type table
var	AntTypeDefinition	def
var	Set	inherited checked namespace
var	Map	inherited restricted def
method	UnknownElement	ue
method	String	ns
method	String	component type
var	Object	component
method	String	component name
method	String	task name
method	Class	task class
var	Map.Entry	e
method	String	type name
method	Class	type class
method	String	task type
var	Object	obj
method	Object	element
method	boolean	brief
var	Class	element class
var	String	element classname
method	Project	p
method	AntTypeDefinition	old
var	boolean	def valid
var	boolean	same validity
var	List	list
var	AntTypeDefinition	current
var	Class	old class
var	boolean	is task
method	String	uri
var	Properties	props
var	String	build sysclasspath
method	boolean	type
var	int	idx
var	String	resource
var	String	error string
var	InputStream	in
var	Properties	p
var	Typedef	definer
method	String	type
var	StringWriter	error text
var	PrintWriter	out
var	boolean	lowlevel
var	boolean	jars
var	boolean	definitions
var	boolean	ant task
var	String	home
var	File	lib dir
var	String	ant home lib
var	boolean	probably ide
var	String	anthome
var	File	ant home lib dir
var	StringBuffer	dir listing text
var	String	tab
var	String	dir listing
var	boolean	optional
var	boolean	is antlib
var	List	matches
var	String	local
method	NoClassDefFoundError	ncdfe
method	String	prefix
var	List	result
file	String	if namespace
file	String	unless namespace
file	String	oata
file	ComponentHelper	component helper
method	String	base
var	String	n
file	int	left column size
file	PrintStream	out
file	int	msg output level
file	long	start time
file	String	l sep
method	StringBuffer	m
method	Throwable	error
method	boolean	verbose
var	Throwable	cause
var	String	msg1
var	String	msg2
var	StringBuffer	message
var	String	label
var	int	size
var	StringBuffer	tmp
var	BufferedReader	r
var	String	line
var	boolean	first
var	Throwable	ex
method	long	millis
method	PrintStream	stream
var	Date	date
var	DateFormat	formatter
var	String	finish time
file	int	mask 8 bit
method	int	offset
method	int	length
file	ByteArrayOutputStream	buffer
file	boolean	cr seen
file	int	max size
file	int	initial size
file	int	cr
file	int	lf
file	WeakHashMap	buffers
file	boolean	is error stream
var	Thread	current
var	BufferInfo	buffer info
method	int	cc
var	byte	c
var	String	output
method	int	off
var	int	block start offset
var	int	remaining
var	int	block length
file	int	java 1 5 number
file	int	big drift limit
file	int	test file size
file	int	kilobyte
file	int	seconds per millisecond
file	int	seconds per minute
file	int	minutes per hour
file	String	error property access blocked
var	FilenameFilter	filter
method	File	dir
var	File[]	files
var	SAXParser	sax parser
var	String	sax parser name
var	Transformer	transformer
var	String	processor name
var	SAXParserFactory	sax parser factory
var	TransformerFactory	transformer factory
var	URL	location
var	XMLReader	reader
method	Throwable	thrown
method	int	log level
method	String	section
var	Properties	sysprops
var	Enumeration	keys
var	File[]	libs
var	Class	which
var	Method	method
var	String	pkg
var	String	parser name
var	String	parser location
var	String	processor location
method	String	parser type
var	String	tempdir
var	File	temp directory
var	long	now
var	File	temp file
var	FileOutputStream	fileout
var	FileInputStream	filein
var	int	total
var	int	read
var	long	filetime
var	long	drift
var	TimeZone	tz
var	ProxyDiagnostics	proxy diag
file	boolean	on vms
file	String[]	defaultexcludes
file	int	max levels of symlinks
file	String	does not exist postfix
file	SymbolicLinkUtils	symlink utils
file	Set	default excludes
file	File	basedir
file	String[]	includes
file	String[]	excludes
file	FileSelector[]	selectors
file	Vector	files included
file	Vector	files not included
file	Vector	files excluded
file	Vector	dirs included
file	Vector	dirs not included
file	Vector	dirs excluded
file	Vector	files deselected
file	Vector	dirs deselected
file	boolean	have slow results
file	boolean	is case sensitive
file	boolean	error on missing dir
file	boolean	follow symlinks
file	boolean	everything included
file	Set	scanned dirs
file	Map	include non patterns
file	Map	exclude non patterns
file	TokenizedPattern[]	include patterns
file	TokenizedPattern[]	exclude patterns
file	boolean	are non pattern sets ready
file	boolean	scanning
file	Object	scan lock
file	boolean	slow scanning
file	Object	slow scan lock
file	IllegalStateException	illegal
file	Set	not followed symlinks
method	String	pattern
method	String	str
method	String	s
method	String	basedir
method	int	max
var	String[]	tmp
method	String	p
var	File	saved base
var	boolean	null includes
var	boolean	null excludes
var	Map	newroots
var	File	canon base
var	TokenizedPath	current path
var	String	currentelement
var	File	myfile
var	String	path
var	String	originalpattern
var	boolean	included
var	String[]	excl
var	String[]	not incl
method	String[]	arr
var	TokenizedPath	path
method	String	vpath
method	boolean	fast
var	String[]	newfiles
method	LinkedList	directory names followed
var	ArrayList	no links
var	TokenizedPath	new path
var	String[]	children
method	TokenizedPath	name
method	Vector	inc
method	Vector	exc
method	Vector	des
method	TokenizedPath	tokenized name
var	Iterator	iter
method	TokenizedPattern	tokenized include
method	TokenizedPattern	pattern
var	String	soughtexclude
var	int	counter
var	String[]	files
var	String[]	directories
var	String[]	links
var	int	excludes length
var	String[]	new excludes
var	String[]	default excludes temp
method	Map	map
method	String[]	patterns
var	ArrayList	al
method	String	dir name
method	File	parent
var	ArrayList	files
var	String	target
var	String	rel path
var	String	dir
file	String	action
method	Object	task
var	String	method name
var	Dispatchable	dispatchable
var	Object	real thing
var	Method	execute m
var	String	m name
var	Method	action m
method	String	local name
method	String	q name
method	Object	value
method	String[]	target names
file	int	status
file	String	no children allowed
method	RuntimeConfigurable	r
file	boolean	initialized
method	char[]	cbuf
var	int	ch
method	long	n
var	long	i
var	StringBuffer	line
file	Parameter[]	parameters
method	Reader	rdr
file	String	queued data
file	String	java class helper
var	String	clazz
var	byte[]	bytes
var	Class	java class helper
var	Class[]	params
var	Method	get constants
var	Object[]	args
var	StringBuffer	sb
var	ClassConstants	new filter
file	File	prepend
file	File	append
file	Reader	prepend reader
file	Reader	append reader
var	ConcatFilter	new filter
var	Parameter[]	params
file	StringBuffer	unicode buf
var	char	achar
var	EscapeUnicode	new filter
file	int	eof
file	char[]	buffer
file	int	index
file	PropertySet	property set
var	String	data
var	GetProperty	get property
var	Object	expanded
var	ExpandProperties	new filter
file	int	default tab length
file	int	min tab length
file	int	max tab length
file	char	ctrlz
file	int	tab length
file	CrLf	eol
file	AddAsisRemove	ctrlz
file	AddAsisRemove	tabs
file	boolean	javafiles
file	boolean	fixlast
var	FixCrLfFilter	new filter
method	AddAsisRemove	attr
method	CrLf	attr
file	int	preempt buffer length
file	Reader	in
file	int[]	preempt
file	int	preempt index
method	char	c
method	int	c
var	int[]	p2
method	char[]	cs
method	int	start
method	char[]	buf
file	boolean	edits blocked
file	int	java
file	int	in char const
file	int	in str const
file	int	in single comment
file	int	in multi comment
file	int	trans to comment
file	int	trans from multi
file	int	state
var	int	this char
file	boolean	previous was eol
file	boolean	fix last
file	int	normalized eol
file	char[]	eol
var	int	num eol
var	boolean	at end
var	int	c1
var	int	c2
file	int	last char
file	int	look ahead
var	int	look ahead2
file	int	column number
var	int	col next tab
var	int	count spaces
var	int	num tabs
var	int	width
file	AddAsisRemove	asis
file	AddAsisRemove	add
file	AddAsisRemove	remove
method	Object	other
var	AddAsisRemove	a
file	CrLf	asis
file	CrLf	cr
file	CrLf	crlf
file	CrLf	dos
file	CrLf	lf
file	CrLf	mac
file	CrLf	unix
var	CrLf	c
file	String	lines key
file	String	skip key
file	long	lines read
file	int	default num lines
file	long	lines
file	long	skip
file	LineTokenizer	line tokenizer
file	int	line pos
file	boolean	eof
var	HeadFilter	new filter
file	String	contains key
file	String	negate key
file	Vector	contains
file	boolean	negate
var	int	contains size
var	boolean	matches
var	String	contains str
method	Contains	contains
method	boolean	b
var	LineContains	new filter
method	String	contains
file	String	regexp key
file	String	cs key
file	Vector	regexps
file	int	regexp options
var	int	regexps size
var	RegularExpression	regexp
var	Regexp	re
method	RegularExpression	reg exp
var	LineContainsRegExp	new filter
file	boolean	reverse
file	String	prefix key
var	PrefixLines	new filter
file	String	default begin token
file	String	default end token
file	Hashtable	hash
file	TreeMap	resolved tokens
file	boolean	resolved tokens built
file	String	read buffer
file	String	replace data
file	int	replace index
file	String	begin token
file	String	end token
var	int	next
var	SortedMap	possible tokens
var	int	chr
method	Resource	r
method	Token	token
method	Resource	resource
var	ReplaceTokens	new filter
var	Parameter	param
file	String	reverse key
file	String	comparator key
file	Comparator	comparator
file	List	lines
file	Iterator	iterator
var	SortFilter	new filter
var	String	param name
var	Comparator	comparator instance
method	String	s1
method	String	s2
file	int	read ahead ch
file	boolean	in string
file	boolean	quoted
var	StripJavaComments	new filter
file	String	default line breaks
file	String	line breaks key
file	String	line breaks
var	StripLineBreaks	new filter
var	String	user defined line breaks
file	String	comments key
file	Vector	comments
var	int	comments size
var	String	comment
method	Comment	comment
var	StripLineComments	new filter
file	String	suffix key
file	String	suffix
var	String	lf
var	SuffixLines	new filter
file	String	tab length key
file	int	spaces remaining
var	TabsToSpaces	new filter
file	boolean	completed read ahead
file	LinkedList	line list
var	TailFilter	new filter
var	long	lines to keep
method	String	string
file	Vector	filters
file	Tokenizer	tokenizer
file	String	delim output
var	Filter	filter
method	Reader	reader
var	TokenFilter	new filter
method	LineTokenizer	tokenizer
method	StringTokenizer	tokenizer
method	FileTokenizer	tokenizer
method	ReplaceString	filter
method	ContainsString	filter
method	ReplaceRegex	filter
method	ContainsRegex	filter
method	Trim	filter
method	IgnoreBlank	filter
method	DeleteCharacters	filter
file	boolean	by line
var	TokenFilter	token filter
file	String	from
file	String	to
var	StringBuffer	ret
var	int	found
file	RegularExpression	regular expression
file	Substitution	substitution
file	String	flags
file	int	options
file	Regexp	regexp
file	String	delete chars
var	StringBuffer	output
var	char	ch
var	int	d
method	String	input
file	String	last line
file	int	default buffer size
file	Reader	primary reader
file	Vector	filter chains
method	Vector	fchain
var	Reader	instream
var	int	filter readers count
var	Vector	final filters
var	ArrayList	class loaders to clean up
var	FilterChain	filterchain
var	Vector	filter readers
var	int	reader count
var	int	j
var	int	filters count
var	boolean	success
var	Reader	final reader
method	List	loaders
var	Iterator	it
method	AntFilterReader	filter
method	Reader	ancestor
method	List	class loaders to clean up
var	Project	pro
var	AntClassLoader	al
var	Constructor[]	constructors
var	boolean	cons present
var	Class[]	types
var	Reader[]	rdr
file	String	ls
var	ByteArrayInputStream	bis
var	ClassParser	parser
var	JavaClass	java class
var	Field[]	fields
var	Field	field
var	ConstantValue	cv
var	String	cvs
file	File	build file
file	URL	build file url
file	Vector	target vector
file	File	build file parent
file	URL	build file parent url
file	String	current project name
file	Locator	locator
file	Target	implicit target
file	Target	current target
file	Vector	w stack
file	boolean	ignore project tag
file	Map	prefix mapping
file	Map	current targets
method	URL	build file
method	RuntimeConfigurable	wrapper
method	Attributes	attr
var	String	id
method	boolean	flag
file	SingleCheckExecutor	sub executor
var	BuildException	thrown exception
var	Hashtable	targets
var	Target	t
file	String	refid targets
file	AntHandler	element handler
file	AntHandler	target handler
file	AntHandler	main handler
file	AntHandler	project handler
file	String	refid context
method	Project	containing project
var	URLProvider	up
method	URL	source
var	Target	dummy target
var	AntXMLContext	context
var	Task[]	tasks
method	Object	source
var	Target	current implicit
var	Target	new current
method	RootHandler	handler
var	String	build file name
var	FileProvider	fp
var	InputStream	input stream
var	InputSource	input source
var	ZipFile	zf
var	BuildException	be
var	XMLReader	parser
var	int	pling
var	DefaultHandler	hb
method	AntHandler	handler
method	String	tag
method	String	qname
method	Attributes	attrs
file	Stack	ant handlers
file	AntHandler	current handler
method	String	public id
method	String	system id
var	AntHandler	next
var	AntHandler	prev
var	String	base dir
var	boolean	name attribute set
var	String	attr uri
var	String	new target prefix
var	String	ant file prop
var	String	dup
var	String	type prop
var	String	dup type
var	Object	dup file
var	Object	context file
var	String	depends
var	String	extension point
var	OnMissingExtensionPoint	extension point missing
var	boolean	is in include mode
var	String	sep
var	Hashtable	project targets
var	boolean	used target
var	String	new name
var	Target	new target
var	ProjectHelper	helper
var	String	ext point name
var	String	configured value
var	String	project name
var	RuntimeConfigurable	parent wrapper
var	Object	parent
var	UnknownElement	task
var	String	mapped uri
file	org.xml.sax.Parser	parser
var	File	b file
var	FileInputStream	input stream
var	HandlerBase	hb
file	DocumentHandler	parent handler
file	ProjectHelperImpl	helper impl
method	AttributeList	attrs
var	String	def
var	File	resolved base dir
var	String	if cond
var	String	unless cond
var	String	description
method	DocumentHandler	parent
method	String	element name
var	String	text
var	String	current description
file	TaskContainer	container
file	Object	child
file	RuntimeConfigurable	child wrapper
method	String	prop type
var	Class	parent class
var	IntrospectionHelper	ih
var	UnknownElement	uc
method	Object	target
method	AttributeList	attr
method	InputRequest	request
var	String	prompt
var	String	next
var	StreamPumper	p
var	Thread	t
file	String	default value
method	String	d
file	LinkedHashSet	choices
file	String	file name key
var	String	props file
var	Object	console
var	char[]	input
file	Map	helpers
file	Map, Class?	primitive type map
var	Class[]	primitives
var	Class[]	wrappers
file	int	max report nested text
file	String	ellipsis
file	Hashtable	attribute types
file	Hashtable	attribute setters
file	Hashtable	nested types
file	Hashtable	nested creators
file	List	add type methods
file	Method	add text
file	Class	bean
var	Method[]	methods
var	Method	add text method
var	Method	m
var	Class	return type
var	Class[]	args
var	Constructor	constructor
var	String	prop name
var	AttributeSetter	as
method	Class	type
method	String	attribute name
var	DynamicAttributeNS	dc
var	String	uri plus prefix
var	DynamicObjectAttribute	dc
var	DynamicAttribute	dc
file	String	not supported child prefix
file	String	not supported child postfix
method	String	parent uri
method	UnknownElement	child
var	NestedCreator	nc
var	Object	nested element
method	Object	ignore
var	DynamicElementNS	dc
var	DynamicElement	dc
var	NestedCreator	ns
method	InvocationTargetException	ite
var	Class	nt
var	Class	at
var	Object	creator
var	Object	setter
method	Class	arg
method	String	attr name
var	Class	reflected arg
var	EnumeratedAttribute	ea
var	AttributeSetter	setter
var	boolean	include project
var	Constructor	c
var	boolean	final include project
var	Constructor	final constructor
var	Object	attribute
var	Enum	set value
var	Enum	enum value
file	NestedCreator	nested creator
file	Object	nested object
file	String	poly type
file	int	add
file	int	add configured
file	int	behavior
var	Class	use type
var	MethodAndObject	restricted
var	MethodAndObject	top level
var	MethodAndObject	method and object
var	Object	r object
var	Object	real object
var	Class	arg class
var	Method	current
method	Class	param class
method	List	methods
var	Class	matched class
var	Method	matched method
var	Class	method class
var	int	ends
file	Object	object
var	AntTypeDefinition	definition
var	Class	matched definition class
var	List	definitions
var	AntTypeDefinition	d
var	Class	exposed class
var	AntTypeDefinition	restricted definition
var	Method	add method
var	Object	added object
method	Properties	additional user properties
method	ClassLoader	core loader
file	String	anthome property
file	String	antlibdir property
file	String	ant privatedir
file	String	ant privatelib
file	boolean	launch diag
file	String	user libdir
file	String	main class
file	String	user homedir
file	String	java class path
file	int	exit code error
var	int	exit code
var	Launcher	launcher
method	boolean	get jars
method	List	lib path ur ls
var	File	element
var	URL[]	dir ur ls
var	String	ant home property
var	File	ant home
var	File	source jar
var	File	jar dir
var	String	main classname
var	List	lib paths
var	String	cp string
var	List	arg list
var	String[]	new args
var	boolean	no user lib
var	boolean	no class path
var	URL[]	lib ur ls
var	URL[]	system ur ls
var	URL[]	user ur ls
var	File	tools jar
var	URL[]	jars
var	StringBuffer	base class path
var	URLClassLoader	loader
var	Class	main class
var	File	main jar
var	AntMain	main
var	String	lib path
method	File	ant launcher dir
var	File	ant lib dir
var	String	ant lib dir property
var	File	user lib dir
method	URL[]	lib jars
method	URL[]	user jars
method	URL[]	system jars
var	int	num jars
method	File	path
file	int	nibble
file	int	nibble mask
file	int	ascii size
file	int	byte size
file	int	word
file	int	space
file	int	del
file	boolean[]	g need escaping
file	char[]	g after escaping1
file	char[]	g after escaping2
file	char[]	g hex chs
file	String	error not file uri
var	char[]	esc chs
method	ClassLoader	c
var	String	u
var	int	tail
var	StringBuffer	buf
var	String	file
var	int	query pos
var	String	cwd
var	int	posi
var	boolean	path starts with file separator
var	boolean	path starts with unc
var	String	jar name
var	ByteArrayOutputStream	sb
var	CharacterIterator	iter
var	char	c1
var	int	i1
var	char	c2
var	int	i2
var	byte	b
var	boolean	tools jar available
var	String	lib tools jar
var	String	java home
method	File	location
method	String[]	extensions
var	URL[]	urls
var	String	little path
var	File[]	matches
var	String	little name
file	int	attr dim
file	int	fg red
file	int	fg green
file	int	fg blue
file	int	fg magenta
file	int	fg cyan
file	char	separator
file	String	end color
file	String	err color
file	String	warn color
file	String	info color
file	String	verbose color
file	String	debug color
file	boolean	colors set
var	String	user color file
var	String	system color file
var	Properties	prop
var	String	err c
var	String	warn
var	String	info
var	String	verbose
var	String	debug
var	StringBuffer	msg
var	String	strmessage
file	boolean	sub build started raised
file	Object	sub build lock
file	String	header
file	String	footer
var	File	base
var	String	failed
file	LogFactory	log factory
file	String	target log
file	String	project log
method	String	cat
var	PrintStream	tmp out
var	PrintStream	tmp err
var	Log	log
var	String	category string
var	String	target name
var	Object	real
var	Object	real obj
var	Object	category object
var	String	category detail
file	String	log ant
var	Logger	log
var	Logger	root log
var	Logger	cat
file	StringBuffer	buffer
file	String	default mime type
var	Hashtable	properties
var	Properties	file properties
var	String	filename
var	boolean	notify
var	Values	values
file	String	mailhost
file	int	port
file	String	user
file	String	password
file	boolean	ssl
file	String	replyto list
file	String	to list
file	String	to cc list
file	String	to bcc list
file	String	subject
file	String	charset
file	String	mime type
file	String	body
file	boolean	starttls
var	String	property name
var	MailMessage	mail message
var	StringTokenizer	t
var	PrintStream	ps
var	Mailer	mailer
var	Vector	reply to list
var	Message	mymessage
var	Vector	to list
var	Vector	to cc list
var	Vector	to bcc list
method	String	list string
var	Vector	email list
var	StringTokenizer	tokens
file	Map	profile data
var	Date	now
var	Date	start
var	long	diff
file	String	spacer
file	String	file name
file	int	line number
file	Location	unknown location
file	String	antlib prefix
file	String	ant version
file	String	script repository
file	String	system loader ref
file	String	repository dir property
file	String	repository url property
file	String	taskdef properties resource
file	String	typedefs properties resource
file	String	ant executor reference
file	String	ant executor classname
file	String	project basedir
file	String	ant file
file	String	ant file type
file	String	ant file type file
file	String	ant file type url
file	String	ant java version
file	String	ant home
file	String	ant lib
file	String	regexp impl
file	String	build javac source
file	String	build javac target
file	String	refid classpath reuse loader
file	String	refid classpath loader prefix
file	String	refid property helper
file	String	refid local properties
file	String	project helper class
file	String	project helper service
file	String	refid project helper
file	String	project default target
file	String	project invoked targets
file	String	ant shell launcher ref id
file	String	ant vm launcher ref id
file	String	attribute namespace
file	String	http agent property
file	Set	launch commands
file	String	default build filename
file	Vector	targets
file	Properties	defined props
file	Vector	listeners
file	Vector	property files
file	boolean	allow input
file	boolean	keep going mode
file	String	logger classname
file	String	input handler classname
file	boolean	silent
file	boolean	ready to run
file	boolean	project help
file	boolean	is log file used
file	Integer	thread priority
file	boolean	proxy
file	Map, ListString	extra arguments
file	GetProperty	noproperties
method	String	a name
var	Main	m
var	String	property
var	String	search for this
var	boolean	search for file
var	PrintStream	log to
var	boolean	just print usage
var	boolean	just print version
var	boolean	just print diagnostics
var	ArgumentProcessorRegistry	processor registry
var	String	arg
var	boolean	processed
var	int	new i
var	List	extra args
var	File	log file
var	File	what you meant
method	int	arg pos
var	int	pos eq
var	Enumeration	property names
method	String	start
var	PrintStream	saved err
var	PrintStream	saved out
var	InputStream	saved in
var	SecurityManager	oldsm
var	ProxySetup	proxy setup
var	PropertyHelper	property helper
var	Map	raw
var	Map	props
var	ResolvePropertyMap	resolver
var	Entry	ent
var	BuildListener	listener
var	InputHandler	handler
var	BuildLogger	logger
file	String	short ant version
method	Map	targets
var	Map	location map
var	Target	other target
var	Entry	entry
method	boolean	print sub targets
method	boolean	print dependencies
var	int	max length
var	Map	ptargets
var	Vector	top names
var	Vector	top descriptions
var	Vector	top dependencies
var	Vector	sub names
var	Vector	sub dependencies
var	String	target description
var	String	default target
method	Vector	names
var	int	res
method	Vector	descriptions
method	Vector	dependencies
method	String	heading
method	int	maxlen
var	String	spaces
var	StringBuilder	msg
var	Enumeration	deps
file	String	lookahead
file	boolean	on net ware
file	boolean	dos style filesystem
var	String	token
var	String	next token
var	String	one more
file	int	msg err
file	int	msg warn
file	int	msg info
file	int	msg verbose
file	int	msg debug
file	String	visiting
file	String	visited
file	String	java 1 0
file	String	java 1 1
file	String	java 1 2
file	String	java 1 3
file	String	java 1 4
file	String	token start
file	String	token end
file	Hashtable	references
file	HashMap	id references
file	FilterSet	global filter set
file	FilterSetCollection	global filters
file	File	base dir
file	Object	listeners lock
file	BuildListener[]	listeners
file	ThreadLocal	is logging message
file	Map	thread tasks
file	Map	thread group tasks
file	InputHandler	input handler
file	InputStream	default input stream
var	Project	sub project
var	File	antlib
var	BuildListener[]	new listeners
var	Vector	r
method	int	msg level
method	Throwable	throwable
method	Project	other
method	String	base d
var	String	java version
var	Properties	system p
method	Executor	e
method	boolean	is warning
method	boolean	is error
method	Vector	sorted targets
var	Set	succeeded targets
var	BuildException	build exception
var	boolean	can execute
var	String	dependency name
var	Enumeration	dep iter
var	Throwable	thrown exception
var	Target	curtarget
method	File	root dir
method	String	to process
method	String	source file
method	String	dest file
method	boolean	filtering
method	boolean	overwrite
method	boolean	preserve last modified
method	File	source file
method	File	dest file
method	long	time
method	String	root
method	Hashtable	target table
method	boolean	return all
method	String[]	root
var	Vector	ret
var	Hashtable	state
var	Stack	visiting
var	String	st
var	Vector	complete
var	String	cur target
var	Enumeration	en
var	String	parent
var	String	cur
var	String	m
method	String	end
method	Stack	stk
var	String	c
method	Project	parent
method	String	reference name
var	Object	old
var	T	ret
var	BuildListener[]	curr listeners
var	int	end index
method	Thread	thread
var	ThreadGroup	group
method	Object	key
method	String	desc
var	ProjectComponent	pc
file	String	ant core uri
file	String	ant current uri
file	String	ant attribute uri
file	String	antlib uri
file	String	ant type
file	String	helper property
file	String	projecthelper reference
file	String	use project name as target prefix
var	FileResource	resource
file	OnMissingExtensionPoint	fail
file	OnMissingExtensionPoint	warn
file	OnMissingExtensionPoint	ignore
file	OnMissingExtensionPoint[]	values
file	Vector	import stack
file	List	extension stack
file	ThreadLocal	target prefix
file	ThreadLocal	prefix separator
file	ThreadLocal	in include mode
method	boolean	include mode
method	Hashtable	keys
var	PropertyHelper	ph
method	Vector	fragments
method	Vector	property refs
method	BuildException	ex
method	Location	new location
var	String	error message
var	int	exit status
method	Resource	source
method	Resource	build file
var	OnMissingExtensionPoint	missing behaviour
var	String	prefix and sep
var	Target	ext point
var	String[]	extension info
file	String	debug project helper repository
file	ProjectHelperRepository	instance
file	List	helpers
file	Constructor	projecthelper2 constructor
var	Constructor	project helper
method	Constructor	helper constructor
var	String	helper class
method	Resource	antlib
file	Iterator	nested
file	boolean	empty
var	LocalProperties	l
method	PropertyHelper	helper
file	LinkedList	stack
file	Object	lock
var	LocalPropertyStack	ret
var	Object	ret
var	Object	curr value
file	NullReturn	nan
method	ParsePosition	pos
file	Collection	expanders
var	Object	result
var	PropertyExpander	property expander
method	ParseNextProperty	parse next property
file	Set	seen
file	ParseProperties	parse properties
file	GetProperty	master
file	boolean	prefix values
file	boolean	expanding lhs
var	String	full key
var	Object	master value
var	String	recursive call key
file	PropertyEvaluator	to string
file	int	prefix len
file	PropertyExpander	default expander
method	ParseNextProperty	not used
var	int	end
file	PropertyExpander	skip double dollar
file	PropertyEvaluator	from ref
method	String	prop
file	PropertyHelper	next
