Domain	Type	Name
file	Vector	nestedTasks
file	FileSet	fileset
file	Echo	nestedEcho
method	Task	nestedTask
var	Task	nestedTask
var	Enumeration	e
method	FileSet	fileset
method	Echo	nestedEcho
method	String	anArgument
method	String[]	args
var	Beta	myBeta
file	D	d
file	APrivate	dependency
method	Object	baz
var	Calendar	cal
method	String[]	args
file	FileUtils	FILE_UTILS
file	String	resourceName
file	int	pathElementsIndex
file	URL	nextResource
var	URL	ret
var	URL	url
var	File	pathComponent
file	int	BUFFER_SIZE
file	int	NUMBER_OF_STRINGS
file	Vector<File>	pathComponents
file	Project	project
file	boolean	parentFirst
file	Vector<String>	systemPackages
file	Vector<String>	loaderPackages
file	boolean	ignoreBase
file	ClassLoader	parent
file	Hashtable<File, JarFile>	jarFiles
file	Map<String, String>	pathMap
file	ClassLoader	savedContextLoader
file	boolean	isContextLoaderSaved
method	Project	project
method	Path	classpath
var	Path	actualClasspath
var	String[]	pathElements
var	int	i
method	ClassLoader	parent
method	boolean	parentFirst
method	String	message
method	int	priority
var	ClassLoader	loader
method	String	pathElement
var	File	pathComponent
method	File	file
method	File	pathComponent
var	String	absPathPlusTimeAndLength
var	String	classpath
var	JarFile	jarFile
var	Manifest	manifest
var	URL	baseURL
var	StringTokenizer	st
var	String	classpathElement
var	URL	libraryURL
var	String	decodedPath
var	File	libraryFile
var	StringBuilder	sb
var	boolean	firstPass
var	Enumeration<File>	componentEnum
method	boolean	isolated
method	Class<?>	theClass
var	Constructor<?>[]	cons
var	String[]	strs
method	String	packageRoot
method	String	packageRoot
method	String	classname
var	Class<?>	theClass
method	String	classname
var	Class<?>	theClass
method	String	name
var	InputStream	resourceStream
method	String	name
var	InputStream	stream
var	Enumeration<File>	e
var	File	pathComponent
method	String	name
method	File	file
method	String	resourceName
var	JarFile	jarFile
var	JarEntry	entry
var	File	resource
method	String	resourceName
var	boolean	useParentFirst
var	String	packageName
var	Enumeration<String>	e
var	String	packageName
var	Enumeration<String>	e
var	ClassLoader	ret
method	String	name
var	URL	url
var	Enumeration<File>	e
var	File	pathComponent
method	String	name
method	String	name
method	String	name
method	boolean	parentHasBeenSearched
var	Enumeration<URL>	mine
var	Enumeration<URL>	base
method	File	file
method	String	resourceName
var	String	msg
var	JarFile	jarFile
var	String	msg
var	JarEntry	entry
var	File	resource
method	String	classname
method	boolean	resolve
var	Class<?>	theClass
method	String	classname
method	File	container
method	byte[]	classData
method	String	classname
var	ProtectionDomain	currentPd
var	String	classResource
var	CodeSource	src
var	ProtectionDomain	classesPd
method	File	container
method	String	className
var	int	classIndex
var	String	packageName
var	Manifest	manifest
method	File	container
var	JarFile	jarFile
method	File	container
method	String	entry
var	JarFile	jarFile
var	JarEntry	ent
method	File	container
method	String	packageName
method	Manifest	manifest
var	String	sectionName
var	String	specificationTitle
var	String	specificationVendor
var	String	specificationVersion
var	String	implementationTitle
var	String	implementationVendor
var	String	implementationVersion
var	String	sealedString
var	URL	sealBase
var	Attributes	sectionAttributes
var	Attributes	mainAttributes
method	InputStream	stream
method	String	classname
method	File	container
var	ByteArrayOutputStream	baos
var	int	bytesRead
var	byte[]	buffer
var	byte[]	classData
method	String	name
method	File	component
method	String	name
var	String	classFilename
var	Enumeration<File>	e
var	File	pathComponent
var	InputStream	stream
method	String	name
var	Enumeration<JarFile>	e
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
var	Vector<String>	packages
var	Enumeration<String>	e
var	String	packageName
method	String	name
method	ClassLoader	parent
method	Project	project
method	Path	path
method	boolean	parentFirst
file	ZipLong	EOCD_SIG
file	ZipLong	SINGLE_SEGMENT_SPLIT_MARKER
method	File	file
var	byte[]	sig
var	ZipLong	start
method	File	f
method	byte[]	b
var	FileInputStream	fis
var	int	len
var	int	count
var	int	x
file	String	name
file	Class<?>	clazz
file	Class<?>	adapterClass
file	Class<?>	adaptToClass
file	String	className
file	ClassLoader	classLoader
file	boolean	restrict
method	boolean	restrict
method	String	name
method	Class<?>	clazz
method	String	className
method	Class<?>	adapterClass
method	Class<?>	adaptToClass
method	ClassLoader	classLoader
method	Project	project
var	Class<?>	z
method	Project	project
method	Project	project
method	Project	project
var	Class<?>	c
var	Object	o
var	TypeAdapter	adapterObject
method	Project	project
var	TypeAdapter	adapter
method	Project	project
method	Class<?>	c
var	Throwable	t
var	String	msg
var	Object	o
method	Class<T>	newclass
method	Project	project
var	Constructor<T>	ctor
var	boolean	noArg
var	T	o
method	AntTypeDefinition	other
method	Project	project
method	AntTypeDefinition	other
method	Project	project
var	ClassLoader	oldLoader
var	ClassLoader	newLoader
method	Class<?>	c
method	String[]	args
method	int	pos
method	List<String>	args
method	Project	project
method	List<String>	args
method	Project	project
method	List<String>	arg
method	PrintStream	writer
file	String	DEBUG_ARGUMENT_PROCESSOR_REPOSITORY
file	boolean	DEBUG
file	String	SERVICE_ID
file	ArgumentProcessorRegistry	instance
file	List<ArgumentProcessor>	processors
